id,category,subject,email_text
3036,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
3037,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
3038,updates,Policy Update Notice,Your account settings were recently modified successfully.
3039,personal,Checking In,Just wanted to check if you are available for a quick discussion.
3040,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
3041,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
3042,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
3043,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
3044,updates,Account Security Alert,Your account settings were recently modified successfully.
3045,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
3046,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
3047,updates,Account Security Alert,We wanted to inform you about an important update to your account.
3048,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
3049,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
3050,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
3051,social,Event Invitation,You have a new notification from your social network account.
3052,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
3053,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
3054,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
3055,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
3056,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
3057,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
3058,social,Someone Liked Your Post,You have a new notification from your social network account.
3059,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
3060,updates,Policy Update Notice,Your account settings were recently modified successfully.
3061,updates,Policy Update Notice,Your account settings were recently modified successfully.
3062,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
3063,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
3064,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
3065,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
3066,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3067,social,New Friend Request,You have a new notification from your social network account.
3068,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
3069,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
3070,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
3071,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
3072,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
3073,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
3074,social,New Follower Alert,You have a new notification from your social network account.
3075,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
3076,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
3077,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
3078,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
3079,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
3080,updates,Password Changed,Your account settings were recently modified successfully.
3081,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
3082,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
3083,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
3084,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
3085,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
3086,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
3087,updates,Account Security Alert,Your account settings were recently modified successfully.
3088,updates,Password Changed,Your account settings were recently modified successfully.
3089,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
3090,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
3091,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
3092,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
3093,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
3094,purchases,Invoice for Your Order,Thank you for your order. Your purchase has been confirmed.
3095,social,Event Invitation,You have a new notification from your social network account.
3096,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
3097,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
3098,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
3099,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
3100,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
3101,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
3102,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
3103,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
3104,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
3105,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
3106,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3107,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
3108,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
3109,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
3110,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
3111,purchases,Invoice for Your Order,Thank you for your order. Your purchase has been confirmed.
3112,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
3113,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
3114,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
3115,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
3116,updates,Account Security Alert,We wanted to inform you about an important update to your account.
3117,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
3118,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
3119,social,New Friend Request,You have a new notification from your social network account.
3120,social,You Were Tagged in a Post,You have a new notification from your social network account.
3121,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
3122,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
3123,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
3124,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3125,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
3126,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
3127,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
3128,social,Someone Liked Your Post,You have a new notification from your social network account.
3129,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
3130,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
3131,updates,Password Changed,Your account settings were recently modified successfully.
3132,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
3133,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
3134,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
3135,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
3136,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
3137,social,New Follower Alert,You have a new notification from your social network account.
3138,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
3139,personal,Checking In,Just wanted to check if you are available for a quick discussion.
3140,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
3141,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
3142,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
3143,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
3144,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
3145,social,New Comment on Your Photo,You have a new notification from your social network account.
3146,updates,Account Security Alert,Your account settings were recently modified successfully.
3147,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
3148,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
3149,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
3150,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
3151,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
3152,social,You Were Tagged in a Post,You have a new notification from your social network account.
3153,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
3154,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
3155,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
3156,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
3157,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
3158,updates,Weekly Newsletter,Your account settings were recently modified successfully.
3159,personal,Checking In,Just wanted to check if you are available for a quick discussion.
3160,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
3161,social,New Comment on Your Photo,You have a new notification from your social network account.
3162,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
3163,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
3164,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
3165,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
3166,updates,System Maintenance Update,Your account settings were recently modified successfully.
3167,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
3168,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
3169,updates,Password Changed,Your account settings were recently modified successfully.
3170,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
3171,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
3172,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
3173,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
3174,social,New Follower Alert,You have a new notification from your social network account.
3175,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
3176,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3177,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
3178,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
3179,social,New Follower Alert,You have a new notification from your social network account.
3180,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
3181,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
3182,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
3183,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
3184,updates,Password Changed,Your account settings were recently modified successfully.
3185,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
3186,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
3187,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
3188,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
3189,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
3190,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
3191,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
3192,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
3193,updates,Account Security Alert,We wanted to inform you about an important update to your account.
3194,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
3195,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
3196,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
3197,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
3198,updates,Subscription Reminder,Your account settings were recently modified successfully.
3199,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
3200,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
3201,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
3202,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
3203,work,Work From Home Approval,Your request to work from home tomorrow has been approved.
3204,updates,Password Changed,Your account settings were recently modified successfully.
3205,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
3206,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
3207,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
3208,social,New Comment on Your Photo,You have a new notification from your social network account.
3209,updates,Weekly Newsletter,Your account settings were recently modified successfully.
3210,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
3211,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
3212,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
3213,updates,Password Changed,We wanted to inform you about an important update to your account.
3214,updates,Weekly Newsletter,Your account settings were recently modified successfully.
3215,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
3216,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
3217,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
3218,social,You Were Tagged in a Post,You have a new notification from your social network account.
3219,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
3220,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
3221,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
3222,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
3223,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
3224,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
3225,work,Strategy Meeting Invitation,A strategy meeting has been arranged to discuss future plans.
3226,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
3227,social,Someone Liked Your Post,You have a new notification from your social network account.
3228,social,New Follower Alert,You have a new notification from your social network account.
3229,updates,Policy Update Notice,Your account settings were recently modified successfully.
3230,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
3231,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
3232,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
3233,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
3234,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
3235,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
3236,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
3237,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
3238,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
3239,social,You Were Tagged in a Post,You have a new notification from your social network account.
3240,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
3241,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
3242,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
3243,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
3244,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
3245,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
3246,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
3247,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
3248,updates,Policy Update Notice,Your account settings were recently modified successfully.
3249,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
3250,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
3251,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
3252,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
3253,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
3254,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
3255,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
3256,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
3257,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
3258,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
3259,purchases,Invoice for Your Order,Thank you for your order. Your purchase has been confirmed.
3260,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
3261,social,Event Invitation,You have a new notification from your social network account.
3262,social,New Follower Alert,You have a new notification from your social network account.
3263,personal,Checking In,Hope you are doing well. Let's catch up soon.
3264,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
3265,social,Someone Liked Your Post,You have a new notification from your social network account.
3266,updates,Password Changed,Your account settings were recently modified successfully.
3267,social,New Follower Alert,You have a new notification from your social network account.
3268,updates,Weekly Newsletter,Your account settings were recently modified successfully.
3269,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
3270,personal,Checking In,Just wanted to check if you are available for a quick discussion.
3271,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
3272,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
3273,social,New Follower Alert,You have a new notification from your social network account.
3274,social,You Were Tagged in a Post,You have a new notification from your social network account.
3275,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
3276,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
3277,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
3278,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
3279,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
3280,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
3281,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3282,updates,Policy Update Notice,Your account settings were recently modified successfully.
3283,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
3284,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
3285,updates,Password Changed,We wanted to inform you about an important update to your account.
3286,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
3287,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
3288,updates,Password Changed,We wanted to inform you about an important update to your account.
3289,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
3290,social,Someone Liked Your Post,You have a new notification from your social network account.
3291,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
3292,social,New Friend Request,You have a new notification from your social network account.
3293,updates,Account Security Alert,We wanted to inform you about an important update to your account.
3294,work,Project Planning Discussion,Let's arrange a discussion regarding the next phase of the project.
3295,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
3296,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
3297,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
3298,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
3299,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
3300,updates,Weekly Newsletter,Your account settings were recently modified successfully.
3301,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
3302,updates,Account Security Alert,Your account settings were recently modified successfully.
3303,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
3304,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
3305,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
3306,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
3307,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3308,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
3309,social,New Follower Alert,You have a new notification from your social network account.
3310,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
3311,updates,Password Changed,We wanted to inform you about an important update to your account.
3312,social,New Friend Request,You have a new notification from your social network account.
3313,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
3314,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
3315,social,Someone Liked Your Post,You have a new notification from your social network account.
3316,updates,Account Security Alert,We wanted to inform you about an important update to your account.
3317,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
3318,social,New Friend Request,You have a new notification from your social network account.
3319,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
3320,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
3321,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
3322,social,New Friend Request,You have a new notification from your social network account.
3323,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
3324,personal,Checking In,Hope you are doing well. Let's catch up soon.
3325,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
3326,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
3327,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
3328,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
3329,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
3330,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
3331,personal,Checking In,Just wanted to check if you are available for a quick discussion.
3332,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
3333,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
3334,updates,Password Changed,We wanted to inform you about an important update to your account.
3335,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
3336,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
3337,social,Someone Liked Your Post,You have a new notification from your social network account.
3338,updates,Weekly Newsletter,Your account settings were recently modified successfully.
3339,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
3340,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
3341,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
3342,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3343,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
3344,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
3345,updates,Account Security Alert,Your account settings were recently modified successfully.
3346,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
3347,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
3348,personal,Checking In,Hope you are doing well. Let's catch up soon.
3349,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
3350,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
3351,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
3352,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
3353,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
3354,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
3355,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
3356,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
3357,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
3358,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
3359,social,Someone Liked Your Post,You have a new notification from your social network account.
3360,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
3361,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
3362,social,You Were Tagged in a Post,You have a new notification from your social network account.
3363,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
3364,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
3365,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
3366,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
3367,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
3368,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
3369,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
3370,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
3371,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
3372,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
3373,updates,Subscription Reminder,Your account settings were recently modified successfully.
3374,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
3375,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3376,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
3377,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
3378,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
3379,personal,Checking In,Just wanted to check if you are available for a quick discussion.
3380,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
3381,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
3382,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
3383,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
3384,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
3385,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
3386,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
3387,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
3388,updates,System Maintenance Update,Your account settings were recently modified successfully.
3389,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
3390,social,New Comment on Your Photo,You have a new notification from your social network account.
3391,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
3392,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
3393,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
3394,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
3395,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
3396,social,New Comment on Your Photo,You have a new notification from your social network account.
3397,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
3398,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
3399,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
3400,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
3401,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
3402,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
3403,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
3404,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
3405,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
3406,updates,Subscription Reminder,Your account settings were recently modified successfully.
3407,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3408,social,You Were Tagged in a Post,You have a new notification from your social network account.
3409,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
3410,updates,Weekly Newsletter,Your account settings were recently modified successfully.
3411,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
3412,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
3413,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
3414,work,Team Meeting Reminder,This is a reminder that the team meeting will be held tomorrow at 10 AM. Please come prepared with your updates.
3415,social,New Comment on Your Photo,You have a new notification from your social network account.
3416,social,New Friend Request,You have a new notification from your social network account.
3417,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
3418,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
3419,social,New Follower Alert,You have a new notification from your social network account.
3420,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3421,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
3422,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3423,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
3424,personal,Checking In,Hope you are doing well. Let's catch up soon.
3425,updates,Password Changed,Your account settings were recently modified successfully.
3426,personal,Checking In,Hope you are doing well. Let's catch up soon.
3427,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
3428,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
3429,updates,Password Changed,Your account settings were recently modified successfully.
3430,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
3431,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
3432,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
3433,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
3434,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
3435,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
3436,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
3437,updates,Password Changed,Your account settings were recently modified successfully.
3438,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
3439,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
3440,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
3441,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
